Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
saxenda wegovy,Informational,82,90,11,4.15,"Sitelinks, AI Overview, Video, People also ask, Related searches"
saxenda ernährungsplan,Informational,66,170,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
انوکساپارین,Informational,59,110,10,0.00,"AI Overview, Image, Image pack, Video, Related searches"
رانولازین,Informational,59,110,10,0.00,"Sitelinks, AI Overview, Image, Image pack"
dabigatranetexilat 150 mg,Informational,58,140,14,0.00,"Image, Image pack, People also ask, Related searches"
hezkue sildenafil spray,Informational,58,110,14,2.76,"Sitelinks, Image, Image pack, People also ask, Related searches"
hezkue spray ohne rezept kaufen,Transactional,58,110,11,1.50,"Sitelinks, Image, People also ask, Related searches, Ads middle"
hezkue spray wirkung,Informational,58,110,14,1.31,"Sitelinks, AI Overview, People also ask, Related searches"
x systo 400 mg nebenwirkungen,Informational,58,110,13,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches"
hezkue spray anwendung,Informational,58,90,13,1.81,"Sitelinks, AI Overview, People also ask, Related searches"
dabigatranetexilat 110 mg,Informational,58,70,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
axcura,Navigational,57,140,12,0.84,"Sitelinks, Reviews, Video, Knowledge panel"
kerendia 10 mg nebenwirkungen,Informational,57,90,13,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
finerenon herzinsuffizienz,Informational,57,70,14,0.00,"AI Overview, Video, People also ask, Related searches"
kerendia 10mg,Informational,57,70,13,0.47,"Image, Video, People also ask, Related searches"
nad creme,Informational,56,70,12,0.92,"Image, Video, People also ask, Related searches, Popular products"
acarex test,Informational,55,90,11,0.43,"Image, Image pack, People also ask, Related searches"
xtandi 40 mg,Informational,55,90,14,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
kerendia 10 mg,Informational,54,390,14,0.47,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
semps,Informational,54,210,7,0.00,"Image pack, Video, People also ask, Related searches"
stelara gewichtszunahme,Informational,54,210,12,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
ustekinumab preis,Informational,54,110,14,0.00,"AI Overview, People also ask, Related searches"
xgeva therapie,Informational,54,110,14,0.00,"AI Overview, Video, People also ask, Related searches"
copd roflumilast,Informational,54,90,13,0.00,"AI Overview, People also ask, Related searches"
زولادکس,Informational,54,90,3,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
stelara spritze,Informational,53,880,14,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
soolantra vorher nachher,Informational,53,480,11,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
venclyxto 100 mg,Informational,53,260,14,0.40,"AI Overview, People also ask, Related searches"
verschreibungspflichtige augentropfen,Informational,53,210,13,0.60,"AI Overview, Image pack, People also ask, Related searches"
daxas 500 erfahrungen,Informational,53,110,13,0.00,"AI Overview, People also ask, Related searches"
bexsero fer n1,"Informational, Commercial",53,90,13,0.00,"Image, People also ask, Related searches"
ducressa augentropfen nebenwirkungen,Informational,53,90,13,0.00,"AI Overview, People also ask, Related searches"
ofloxa-vision augentropfen,Informational,53,90,13,0.53,"People also ask, Related searches"
sildehexal 100,Informational,53,90,14,2.56,"Image, Image pack, People also ask, Related searches"
softacort augentropfen erfahrungen,Informational,53,90,10,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
xarelto 10 mg thromboseprophylaxe,Informational,53,90,14,0.00,"AI Overview, People also ask, Related searches"
xarelto von bayer,Informational,53,90,13,0.00,"AI Overview, Image, People also ask, Related searches"
setanova,Informational,52,170,9,2.84,"AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches"
simva basics 20 mg für was,Informational,52,170,14,0.00,"AI Overview, Video, People also ask, Related searches"
thc en spray,"Informational, Commercial",52,170,9,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
champix im ausland kaufen,Transactional,52,140,13,2.35,"AI Overview, People also ask, Related searches"
cbd spray kaufen,Transactional,52,110,10,0.00,"People also ask, Local pack, Related searches, Popular products"
champix folgepackung,Commercial,52,110,14,2.02,"Image, People also ask, Related searches, Ads bottom"
champix schlechte erfahrungen,Informational,52,110,12,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
setaline,Informational,52,110,13,0.00,"AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom"
canamicina,Informational,52,90,14,0.00,"AI Overview, Image, Image pack"
champix online kaufen ohne rezept,Transactional,52,90,13,2.46,"Sitelinks, AI Overview, People also ask, Related searches"
chantixsch,Informational,52,90,13,0.00,
floxadex,Informational,52,90,9,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
laxbene saft,Informational,52,90,12,0.21,"Image, Image pack, People also ask, Related searches"
seltrisa ring,Informational,52,90,13,0.00,Reviews
sitagliptin 100 erfahrungen forum,Informational,52,90,10,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
atorvastatin hexal 40 mg,Informational,52,70,11,0.00,"AI Overview, Image, People also ask, Related searches"
denosumab xgeva,Informational,52,70,13,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
floxal edo augentropfen wofür,Informational,52,70,13,0.00,"AI Overview, People also ask, Related searches"
sarilumab erfahrungen,Informational,52,70,12,0.36,"People also ask, Related searches"
sildenafil heumann 100 mg,"Informational, Commercial",52,70,14,1.90,"Image, People also ask, Related searches"
sildenafil puren 100mg,Informational,52,70,14,1.15,"AI Overview, Image, People also ask, Related searches, Ads middle"
soolantra creme erfahrungen,Informational,51,480,14,0.00,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches"
pille solgest,Informational,51,210,14,2.46,"AI Overview, Image, People also ask, Related searches, Ads bottom"
roclanda augentropfen erfahrungen,Informational,51,170,12,0.43,"Sitelinks, AI Overview, People also ask, Related searches"
sildegra 50 mg,Informational,51,140,12,1.42,"Image, Image pack, People also ask, Related searches"
xylonor spray,Informational,51,110,8,0.91,"Image pack, People also ask, Related searches"
паксловид,Informational,51,110,14,0.00,"Image pack, Video"
septolete lutschtabletten wie oft,Informational,51,90,13,0.00,"AI Overview, People also ask, Related searches"
silagra 100,"Informational, Commercial",51,70,8,2.08,"Sitelinks, Image, Image pack, People also ask, Related searches"
raloxibone,Informational,50,1000,12,0.00,Related searches
farsena,Informational,50,590,13,0.00,"AI Overview, Video, People also ask, Related searches"
solgest pille preis,Transactional,50,210,10,0.77,"Image, People also ask, Related searches"
sitagliptin beta 100 mg,Informational,50,140,14,0.00,"AI Overview, Image, People also ask, Related searches"
denosumab 60 mg,Informational,50,110,12,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
cequa preis,Transactional,50,90,13,0.27,"Image, Image pack, People also ask, Related searches"
helmex kautabletten nebenwirkungen,Informational,50,90,13,0.00,"AI Overview, People also ask, Related searches"
helmex pyrantel,Informational,50,90,14,0.68,"Image, Image pack, People also ask, Related searches, Popular products"
pentasa tabletten,Informational,50,90,14,0.00,"Image, Image pack, People also ask, Related searches"
pyrantel helmex,Informational,50,90,14,0.00,"Image, Image pack, People also ask, Related searches"
wie schnell wirkt helmex bei kindern,Informational,50,90,10,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
wurmmittel helmex,Informational,50,90,11,0.00,"Image, Image pack, People also ask, Related searches"
xenical 120 mg kaufen,Transactional,50,90,12,0.80,"People also ask, Related searches"
helmex kautabletten rezeptfrei kaufen,Transactional,50,70,10,0.54,"People also ask, Related searches"
helmex nebenwirkungen wie lange,Informational,50,70,13,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
soolantra erfahrungen,Informational,49,880,11,2.18,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
xonvea 20mg,Informational,49,480,14,0.39,"Image, Image pack, People also ask, Related searches"
soolantra erstverschlimmerung,Informational,49,170,12,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
synarela nasenspray,Informational,49,170,14,0.00,"Image, Image pack, People also ask, Related searches"
xgeva nebenwirkungen erfahrungen,Informational,49,110,13,0.00,"AI Overview, People also ask"
xifaxan 550 mg preis,Transactional,49,110,14,0.88,"AI Overview, Image, People also ask, Related searches"
candaxiro 16mg,Informational,49,90,14,0.60,"Image, Image pack, People also ask, Related searches"
pentasa 1000 mg,Informational,49,90,14,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
xadago morgens oder abends,Informational,49,90,10,0.00,"AI Overview, People also ask, Related searches"
laxbene junior,"Informational, Transactional",48,2400,14,0.30,"Image, Image pack, People also ask, Related searches"
laxbene,"Informational, Navigational",48,1900,10,0.32,"Image, Image pack, People also ask, Related searches"
soolantra erfahrungsberichte,Informational,48,260,11,0.88,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
sildegra,Informational,48,210,14,1.70,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
