Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
saxsenda,Informational,89,70,29,4.40,"AI Overview, Video, People also ask, Related searches, Ads bottom"
sacenda,Informational,84,210,29,3.76,"AI Overview, Video, People also ask, Related searches"
saxenda erfahrungsberichte,Informational,82,260,15,2.22,"AI Overview, People also ask, Related searches"
saxenda vs wegovy,Commercial,82,260,17,4.77,"Sitelinks, AI Overview, Video, People also ask, Related searches"
liraglutid handelsname,Informational,82,170,16,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
саксенда,Informational,82,170,27,1.03,"AI Overview, Image, Video, People also ask, Related searches"
saxenda generika,Informational,82,90,18,2.89,"Sitelinks, AI Overview, People also ask, Related searches"
saxendra,Informational,82,90,25,4.40,"AI Overview, Video, People also ask, Related searches"
wegovy vs saxenda,Commercial,82,90,17,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom"
liraglutid generika,Informational,82,70,19,2.26,"Sitelinks, AI Overview, Video, People also ask, Related searches"
saxenda günstig kaufen,Transactional,82,70,19,6.22,"People also ask, Related searches"
saxenda tabletten kaufen,Transactional,82,70,29,2.70,"People also ask, Related searches"
saxenda dosierung,Informational,81,480,27,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
saxenda anwendung,Informational,81,320,26,1.85,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads bottom, Ads middle"
saxenda wirkstoff,Informational,77,480,27,0.00,"AI Overview, People also ask, Related searches"
saxenda dosierung tabelle,Informational,74,170,26,1.94,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
saxenda nebenwirkungen,Informational,71,480,23,3.44,"Sitelinks, AI Overview, People also ask, Related searches"
saxenda tabletten,"Informational, Commercial",71,170,27,0.00,"Sitelinks, Image, People also ask, Related searches"
saxenda pen,Informational,69,110,28,5.59,"Sitelinks, Image pack, Video, People also ask, Related searches"
saxenda abnehmen,Informational,68,260,23,3.88,"Sitelinks, AI Overview, Image, Video, People also ask"
saxenda kaufen,Transactional,66,880,25,5.86,"Image, People also ask, Related searches"
saxenda wie lange reicht ein pen,Informational,66,170,20,4.97,"Featured snippet, People also ask, Related searches"
saxenda preis,Transactional,64,1300,25,2.29,"Image, People also ask, Related searches"
xgeva,Informational,62,1900,22,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
daxas,Informational,61,1000,22,0.80,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
saxenda erfahrungen,Informational,61,720,19,3.21,"Sitelinks, AI Overview, Image, People also ask, Related searches, Ads top"
xgeva 120 mg,Informational,61,260,17,0.72,"AI Overview, Image, Image pack, People also ask, Related searches"
pradaxa,Informational,60,5400,25,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
ranexa,Informational,60,3600,21,0.00,"AI Overview, People also ask, Related searches"
xarelto tablette,Informational,60,140,24,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
sevelamercarbonat 800 mg,Informational,60,110,18,0.00,"AI Overview, Image, People also ask, Knowledge panel, Related searches"
arixtra spritze,Informational,60,90,19,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
xelevia,Informational,59,1900,28,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
axura wirkstoff,Informational,59,320,20,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
ranozaline,Informational,59,320,23,0.00,"AI Overview, Video, People also ask, Related searches"
forxiga tabletten,Informational,59,260,20,0.00,"Image, Image pack, Video, People also ask, Related searches"
pradaxa 150mg,Informational,59,210,21,0.00,"AI Overview, Image pack, People also ask, Knowledge panel, Related searches"
ranexa medikament,Informational,59,90,21,0.00,"AI Overview, People also ask, Related searches"
ranolazin erfahrungen,Informational,59,90,17,0.00,"AI Overview, People also ask, Related searches"
ranulazin,Informational,59,90,15,0.00,"AI Overview, Image, Video, People also ask, Related searches"
was ist enoxaparin,Informational,59,90,18,0.00,"AI Overview, Video, People also ask, Related searches"
farxiga 10mg,Informational,59,70,28,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
inhixa 4.000 anwendung,Informational,59,70,18,0.00,"AI Overview, Video, People also ask, Related searches"
xadago,Informational,58,1600,23,0.00,"AI Overview, Image, Video, People also ask, Related searches"
qutenza pflaster,Informational,58,1300,19,0.87,"Image, Image pack, Video, People also ask, Related searches"
dabigartan,Informational,58,390,25,0.00,"AI Overview, Image, Video, People also ask, Related searches"
daxas wirkstoff,Informational,58,390,25,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches"
denosumab preis,Transactional,58,260,16,0.00,"AI Overview, Image, People also ask, Related searches"
desonumab,Informational,58,210,28,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
hezkue spray nebenwirkungen,Informational,58,210,15,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches"
hezkue sildenafil mundspray,Commercial,58,170,15,2.33,"Sitelinks, Image, Video, People also ask, Related searches, Ads top, Ads middle"
cosentxy,Informational,58,140,24,2.41,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches"
denosuab,Informational,58,140,29,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
hezkue spray ohne rezept,Commercial,58,140,17,1.58,"Sitelinks, Image, Video, People also ask, Related searches, Ads middle"
penile spray,Informational,58,140,15,0.61,"People also ask, Related searches"
x-systo 400 mg,Informational,58,140,21,1.26,"AI Overview, People also ask, Related searches, Ads bottom"
arixta,Informational,58,110,24,0.00,"Featured snippet, Image pack, Video, People also ask, Related searches"
sildenafil mundspray,Commercial,58,90,15,4.21,"Image, People also ask, Related searches, Ads top"
viagra spray kaufen,"Informational, Transactional",58,90,16,1.23,"People also ask, Related searches"
was ist denosumab,Informational,58,90,26,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
xalacom wirkstoff,Informational,58,90,18,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
hezkue spray preis,Transactional,58,70,16,1.47,"People also ask, Related searches"
x systo antibiotika,Informational,58,70,21,2.68,"AI Overview, Image, People also ask, Related searches"
arixtra,Informational,57,2400,23,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
pentasa,Informational,57,1600,20,1.19,"AI Overview, Image pack, People also ask, Related searches"
qutenza,Informational,57,590,20,0.00,"AI Overview, Video, People also ask, Related searches"
saxenda erfahrung,Informational,57,480,15,3.21,"AI Overview, People also ask, Related searches"
xgeva wirkstoff,Informational,57,390,22,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
pradaxa 150 mg,Informational,57,320,19,0.00,"Image pack, People also ask, Related searches"
axiron bit,Informational,57,170,16,0.00,"AI Overview, Reviews, Video, People also ask, Related searches"
xenikal,Informational,57,170,27,1.52,"Image, Image pack, People also ask, Related searches"
paradaxa,Informational,57,110,24,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about"
xenical 120 mg erfahrungen,Informational,57,110,22,1.16,"AI Overview, People also ask, Related searches"
xenical rezeptfrei,Informational,57,110,25,2.76,"People also ask, Related searches, Ads bottom"
zoladex,Informational,56,2900,19,2.68,"Sitelinks, AI Overview, Video, People also ask, Related searches"
xgeva nebenwirkung,Informational,56,320,15,0.00,"AI Overview, People also ask, Related searches"
xsysto,Informational,56,260,27,2.08,"AI Overview, Image, Image pack, People also ask, Related searches"
sempera,Informational,56,210,18,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
avanafil preis,Commercial,56,170,18,1.35,"People also ask, Related searches, Ads top, Ads bottom"
renvela 800,Informational,56,170,24,0.00,"Image, Image pack, People also ask, Related searches"
pradaxa 150,Informational,56,140,18,0.00,"Image pack, People also ask, Related searches"
nalidixinsäure,Informational,56,110,19,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
x-systo 400,Informational,56,110,25,1.07,"People also ask, Related searches"
