Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
trulicity anwendung,Informational,80,90,24,0.00,"AI Overview, Video, People also ask, Related searches"
trulicity spritze,Informational,79,260,19,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
trulicity spritzen,Informational,75,170,20,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
trulicity wie lange nehmen,Informational,75,90,18,0.00,"AI Overview, Video, People also ask, Related searches"
diabetes spritze trulicity,Informational,73,140,20,0.00,"AI Overview, Image, Video, People also ask, Related searches"
trulicity nebenwirkung,Informational,71,210,25,1.01,"Sitelinks, AI Overview, People also ask, Related searches"
nebenwirkung trulicity,Informational,71,170,25,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
trulicity nebenwirkungen,Informational,70,1600,28,2.09,"Sitelinks, AI Overview, People also ask, Related searches"
nebenwirkungen trulicity,Informational,70,140,22,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Ads middle"
trulicity nebenwirkungen bauchspeicheldrüse,Informational,70,140,21,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
abnehmspritze trulicity,Informational,67,320,17,2.63,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Ads bottom, Ads middle"
trulicity nebenwirkungen leber,Informational,67,110,26,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
trulicity 1 5 mg,Informational,66,880,20,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
trulicity 0 75,Informational,66,170,17,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
trulicity 3 mg nebenwirkungen,Informational,66,90,22,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
trulicity nebenwirkungen erfahrungen,Informational,65,210,19,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
trulicity nebenwirkungen augen,Informational,65,110,15,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
trulicity 1 5 mg nebenwirkungen,Informational,64,140,22,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Ads middle"
lumykras,Informational,63,260,24,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
darunavir,Informational,63,170,19,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
tremfya pen,Informational,63,170,16,0.00,"Image pack, People also ask, Related searches"
dulaglutid spritze,Informational,63,110,22,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
tremfya morbus crohn,Commercial,63,110,20,11.56,"AI Overview, People also ask, Related searches, Ads bottom, Ads middle"
guselkumab morbus crohn,Informational,63,70,21,0.79,"AI Overview, Image, People also ask, Related searches"
trulicity 0 75 mg,Informational,62,110,15,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
vumerity,Informational,61,720,21,0.73,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Ads bottom"
tivicay,Informational,61,320,23,0.00,"AI Overview, Image, Video, People also ask, Related searches"
toripalimab,Informational,61,210,17,1.43,"AI Overview, Related searches"
trelegy wirkstoff,Informational,61,110,23,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
tislelizumab fachinfo,Commercial,61,90,17,0.00,"People also ask, Related searches"
