Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
victosa,Informational,87,480,28,2.92,"AI Overview, Video, People also ask, Related searches"
victrosa,Informational,84,1900,24,2.92,"AI Overview, Video, Related searches, Ads bottom"
victoza 6 mg,Informational,84,70,24,1.85,"AI Overview, Image, Image pack, People also ask, Related searches"
victoza abnehmspritze,Informational,84,70,27,1.95,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Ads bottom"
victoza insulin,Informational,79,140,28,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
victoza dosierung,Informational,73,260,29,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
saxenda erfahrungsberichte,Informational,66,260,15,2.22,"AI Overview, People also ask, Related searches"
saxenda vs wegovy,Commercial,66,260,17,4.77,"Sitelinks, AI Overview, Video, People also ask, Related searches"
toviaz,Informational,66,210,17,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
liraglutid handelsname,Informational,66,170,16,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
саксенда,Informational,66,170,27,1.03,"AI Overview, Image, Video, People also ask, Related searches"
saxenda generika,Informational,66,90,18,2.89,"Sitelinks, AI Overview, People also ask, Related searches"
saxendra,Informational,66,90,25,4.40,"AI Overview, Video, People also ask, Related searches"
wegovy vs saxenda,Commercial,66,90,17,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom"
liraglutid generika,Informational,66,70,19,2.26,"Sitelinks, AI Overview, Video, People also ask, Related searches"
saxenda günstig kaufen,Transactional,66,70,19,6.22,"People also ask, Related searches"
saxenda tabletten kaufen,Transactional,66,70,29,2.70,"People also ask, Related searches"
vimpat,Informational,65,2400,22,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
victoza preis,Informational,65,320,17,1.47,"AI Overview, Image, Image pack, People also ask, Related searches"
spirivia,Informational,64,90,20,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
zometa,Informational,63,2400,24,0.00,"AI Overview, Image, Video, People also ask, Related searches"
jorveza,Informational,63,1600,21,0.50,"AI Overview, Image, Image pack, People also ask, Related searches"
adtralza,Informational,63,390,20,0.38,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
valaclicovir,Informational,63,260,26,2.76,"AI Overview, People also ask, Related searches"
валацикловир,Informational,63,210,20,0.76,"Image pack, People also ask, Related searches"
valaciclovie,Informational,63,170,25,2.76,"AI Overview, Video, People also ask, Related searches"
nebenwirkung valaciclovir,Informational,63,140,24,0.49,"Sitelinks, AI Overview, People also ask, Related searches"
nebenwirkungen valaciclovir,Informational,63,90,24,0.85,"Sitelinks, AI Overview, People also ask, Related searches"
speriva,Informational,62,320,25,0.00,"AI Overview, Image pack, People also ask, Related searches"
locosamid,Informational,62,260,28,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
sacenda,Informational,62,210,29,3.76,"AI Overview, Video, People also ask, Related searches"
darunavir,Informational,62,170,19,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
cimzia spritzen,Informational,62,110,20,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
lacosamid anderer name,Informational,62,110,15,0.00,"AI Overview, Video, People also ask, Related searches"
lacosamid saft,Informational,62,110,16,0.00,"Image, Image pack, Video, People also ask, Related searches"
vimpto,Informational,62,110,22,1.05,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches, Popular products"
zometa 4 mg,Informational,62,110,17,0.00,"AI Overview, Image, People also ask, Related searches"
lacosamid i.v.,Informational,62,90,15,0.00,"AI Overview, People also ask, Related searches"
lacosamid nebenwirkung,Informational,62,90,16,0.00,"AI Overview, People also ask, Related searches"
lacosamid 100 mg nebenwirkungen,Informational,62,70,16,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
dabigartan,Informational,61,390,25,0.00,"AI Overview, Image, Video, People also ask, Related searches"
fosavance,Informational,61,320,18,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
victoza abnehmen,Informational,61,210,26,1.50,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads bottom"
forsteo wirkstoff,Informational,61,110,19,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
viani diskus 50 250,Informational,61,90,18,2.02,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
terparatid,Informational,61,70,16,0.30,"AI Overview, Video, People also ask, Related searches"
xelevia,Informational,60,1900,28,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
kevzara,Informational,60,880,25,0.00,"Sitelinks, AI Overview, Image, Video, People also ask"
vitaros,Informational,60,390,24,3.11,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
tivicay,Informational,60,320,23,0.00,"AI Overview, Image, Video, People also ask, Related searches"
valcyte,Informational,60,320,19,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
veoza 45mg,Informational,60,170,19,0.87,"AI Overview, People also ask, Related searches"
voriconazol 200 mg,Informational,60,170,15,1.61,"Image pack, People also ask, Related searches"
votrient,Informational,60,170,18,0.00,"AI Overview, Image, Video, People also ask, Related searches"
thiotropium,Informational,60,110,19,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
tiotroplum,Informational,60,110,19,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
spiriva respimat morgens oder abends,Informational,60,90,16,0.00,"AI Overview, Video, People also ask, Related searches"
spiropent wirkstoff,Informational,60,90,18,0.00,"AI Overview, People also ask, Related searches"
saxsenda,Informational,60,70,29,4.40,"AI Overview, Video, People also ask, Related searches, Ads bottom"
veltassa,Informational,59,1000,19,0.00,"AI Overview, Image, Video, People also ask, Related searches"
vimpat wirkstoff,Informational,59,880,20,0.00,"AI Overview, Video, People also ask, Related searches"
tremfya spritze,Informational,59,590,15,1.19,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
vimovo 500mg/20 mg,Informational,59,480,21,0.95,"People also ask, Related searches"
