Keyword,Intent,Relevance,Volume,Keyword Difficulty,CPC (USD),SERP Features
liraglutid preis,Transactional,84,90,13,0.00,"AI Overview, Image, People also ask, Related searches"
saxenda wegovy,Informational,66,90,11,4.15,"Sitelinks, AI Overview, Video, People also ask, Related searches"
preis victoza,Informational,65,260,14,1.47,"AI Overview, People also ask, Related searches"
lacosamid amarox,Informational,62,90,13,0.00,"AI Overview, Image, People also ask, Related searches"
lacosamid spiegel,Informational,62,90,5,0.00,AI Overview
lacosamid vimpat,Informational,62,90,14,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
lacosamid 150 mg,Informational,62,70,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
teriparatid erfahrungen forum,Informational,61,170,11,0.00,"AI Overview, People also ask, Related searches"
dabigatranetexilat 150 mg,Informational,61,140,14,0.00,"Image, Image pack, People also ask, Related searches"
forteos,Informational,61,90,3,0.00,"AI Overview, Reviews, Image, Image pack, Video, People also ask"
vimpat 200 mg,Informational,61,90,14,0.00,"Image, People also ask, Related searches"
dabigatranetexilat 110 mg,Informational,61,70,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
spirotec,Commercial,60,110,10,1.14,"Reviews, Image pack, Video, People also ask, Local pack, Related searches, Ads top"
tiotropium erfahrungen,Informational,60,110,14,0.00,"People also ask, Related searches"
tremfya alkohol,Informational,59,110,12,0.00,"Sitelinks, People also ask, Related searches"
vitaros 300 erfahrungen,Informational,59,110,10,0.91,"Reviews, Video, People also ask, Related searches"
vitaros creme erfahrungen,Informational,59,90,10,1.08,"Video, People also ask, Related searches"
vitaros creme kaufen,Transactional,59,70,13,1.93,"People also ask, Related searches"
zovex,"Informational, Transactional",58,320,8,1.57,"Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
venclyxto 100 mg,Informational,58,260,14,0.40,"AI Overview, People also ask, Related searches"
hezkue sildenafil spray,Informational,58,110,14,2.76,"Sitelinks, Image, Image pack, People also ask, Related searches"
hezkue spray ohne rezept kaufen,Transactional,58,110,11,1.50,"Sitelinks, Image, People also ask, Related searches, Ads middle"
hezkue spray wirkung,Informational,58,110,14,1.31,"Sitelinks, AI Overview, People also ask, Related searches"
hezkue spray anwendung,Informational,58,90,13,1.81,"Sitelinks, AI Overview, People also ask, Related searches"
tresiba flextouch,Informational,58,90,12,0.00,"Image, Video, Video carousel, People also ask, Related searches"
viacorind erfahrungen forum,Informational,58,90,13,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
زولادکس,Informational,58,90,3,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
entyvio morbus crohn,Informational,58,70,14,0.00,"AI Overview, People also ask, Related searches"
entyvio schwangerschaft,Informational,58,70,10,0.00,"AI Overview, Video, People also ask, Related searches"
viacordin,Commercial,58,70,14,0.84,"Image, People also ask, Related searches"
zoely kaufen,Transactional,58,70,14,2.87,"Sitelinks, People also ask, Related searches"
satralizumab,Informational,57,140,14,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
zoledronsäure infusion erfahrungen forum,Informational,57,140,9,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
zometa halbjährlich,Informational,57,140,13,0.00,"AI Overview, Video, People also ask, Related searches"
anasterol,Informational,57,110,11,2.16,"AI Overview, Image, Video, People also ask, Knowledge panel"
trixeo aerosphere erfahrungen forum,Informational,57,110,14,0.00,"Sitelinks, People also ask, Related searches"
anastrozol kaufen bodybuilding,Transactional,57,90,2,0.00,Related searches
anastrozol preis,Transactional,57,90,14,0.00,"Image, Image pack, People also ask, Related searches"
arimidex kaufen,Transactional,57,90,12,1.20,"People also ask, Related searches, Ads bottom"
valtex,Informational,57,90,4,0.00,"AI Overview, Image pack, Video, Related searches, Ads middle"
volon a 40 wirkungsdauer,Informational,57,90,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
voriconazol fachinfo,Informational,57,90,13,0.00,Related searches
voriconazol handelsname,Informational,57,90,12,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
zoledro denk,Informational,57,90,13,0.00,"AI Overview, Image, Image pack, People also ask, Related searches"
anastrozol online kaufen,Transactional,57,70,13,0.00,"People also ask, Related searches"
bevespi aerosphere anwendung,Informational,57,70,13,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
cimzia schwangerschaft,Informational,57,70,14,0.00,"AI Overview, Video, People also ask, Related searches"
elonto,Commercial,56,140,11,1.25,"Reviews, Video, Related searches"
verquvo 2 5,Informational,56,110,14,2.09,"AI Overview, Image, Image pack, People also ask"
viani mite erfahrungen kinder,Informational,56,110,13,0.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches"
acarex test,Informational,56,90,11,0.43,"Image, Image pack, People also ask, Related searches"
dociton 80,Informational,56,90,13,0.00,"Sitelinks, Image, Image pack, People also ask, Related searches"
formatris 12 mikrogramm novolizer,Informational,56,90,14,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
fampyra alternative,Informational,56,70,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
sarilumab erfahrungen,Informational,56,70,12,0.36,"People also ask, Related searches"
tirosil,Informational,55,590,7,0.00,"AI Overview, Image pack, Video"
quviviq 50 mg erfahrungen,Informational,55,260,12,0.35,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
entyvio spritze,Informational,55,170,14,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
roclanda augentropfen erfahrungen,Informational,55,170,12,0.43,"Sitelinks, AI Overview, People also ask, Related searches"
valsacor comp,Informational,55,170,14,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
schlafmittel quviviq erfahrungen,"Informational, Commercial",55,140,14,0.36,"AI Overview, Video, People also ask, Ads bottom, Ads middle"
daridorexant erfahrungsberichte forum,Informational,55,110,10,0.00,"People also ask, Related searches"
otezla nebenwirkungen,Informational,55,110,14,0.00,"Sitelinks, AI Overview, Image, People also ask"
evaluna 30 langzyklus,Informational,55,90,14,1.70,"Image, People also ask, Related searches"
vancom,Navigational,54,210,13,0.00,"Sitelinks, Image pack, Related searches"
volon a 40 mg,Informational,54,140,14,0.70,"AI Overview, People also ask, Related searches"
influvac tetra 2025,Informational,54,110,14,0.00,"AI Overview, People also ask, Related searches"
tresiba pen,Informational,54,110,14,0.00,"Image, Image pack, Video, People also ask, Related searches"
viridal 20 mg,Informational,54,110,14,0.90,"Image, People also ask, Related searches, Ads bottom"
vistabel 100,Informational,54,110,14,0.00,"Image, Image pack, People also ask, Related searches"
zopiclodura 7 5,Informational,54,110,14,0.79,"Image, People also ask, Knowledge panel, Related searches"
tovedeso 3 5 mg erfahrungen,Informational,54,90,13,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
viacorind gewichtszunahme,Informational,54,90,14,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
zopiclon bestellen,Commercial,54,90,10,4.68,"People also ask, Related searches"
amvuttra preis,Transactional,54,70,14,0.00,"People also ask, Related searches, Popular products"
influvac tetra 2025 26,Informational,54,70,12,0.00,"Video, People also ask, Related searches"
ciatyl z tropfen,Informational,53,110,14,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
